product_id,name,sku,price,supplier_id,quantity_on_hand
1,Ноутбук Lenovo ThinkPad,NB-LEN-T14-001,75000.00,1,50
2,Мышь Logitech MX Master,MS-LOG-MX-002,8000.00,1,200
3,Клавиатура Logitech K380,KB-LOG-380-003,4000.00,1,150
4,Монитор Samsung 24,MN-SAM-24-004,15000.00,2,70
5,Принтер HP LaserJet,PR-HP-LJ-005,20000.00,2,30
6,Сканер Canon,SC-CAN-006,12000.00,3,20
7,Паллета 1200x800,PL-1200-007,500.00,5,500
8,Стеллаж металлический,ST-MET-008,7000.00,5,60
9,Сканер штрихкодов,SC-BAR-009,3000.00,4,100
10,Терминал сбора данных,TS-010,25000.00,4,40
11,Ноутбук Dell,NB-DEL-011,70000.00,1,25
12,Мышь A4Tech,MS-A4-012,1500.00,1,300
13,Клавиатура Genius,KB-GEN-013,1200.00,1,220
14,Монитор LG,MN-LG-014,14000.00,2,65
15,Принтер Epson,PR-EPS-015,18000.00,2,35
16,Паллета усиленная,PL-STR-016,700.00,5,400
17,Стеллаж складской,ST-WH-017,9000.00,5,45
18,Сканер Zebra,SC-ZEB-018,10000.00,4,55
19,ТСД Honeywell,TS-HON-019,30000.00,4,20
20,Маркер складской,MK-020,100.00,6,1000
