supplier_id,name,contact_info
1,ООО ТехноТрейд,"Москва, +7 495 111-11-11"
2,ЗАО СкладСервис,"СПб, +7 812 222-22-22"
3,ООО КомплектПоставка,"Казань, +7 843 333-33-33"
4,ООО IT-Логистика,"Москва, +7 495 444-44-44"
5,ООО Паллета,"Самара, +7 846 555-55-55"
6,ООО ГрузМаркет,"Омск, +7 381 666-66-66"
7,ООО Снабжение,"Уфа, +7 347 777-77-77"
8,ООО ТехноИмпорт,"Москва, +7 495 888-88-88"
9,ООО Дистрибуция,"СПб, +7 812 999-99-99"
10,ООО АльфаСклад,"Ростов, +7 863 123-45-67"
11,ООО БетаСклад,"Казань, +7 843 234-56-78"
12,ООО ГаммаСнаб,"Пермь, +7 342 345-67-89"
13,ООО ДельтаТрейд,"Воронеж, +7 473 456-78-90"
14,ООО Эпсилон,"Уфа, +7 347 567-89-01"
15,ООО Зета,"Самара, +7 846 678-90-12"
16,ООО Эта,"Омск, +7 381 789-01-23"
17,ООО Тета,"Тюмень, +7 345 890-12-34"
18,ООО Иота,"Красноярск, +7 391 901-23-45"
19,ООО Каппа,"Иркутск, +7 395 012-34-56"
20,ООО Лямбда,"Владивосток, +7 423 123-45-67"
