supplier_id,name,contact_info
1,ООО ТехноТрейд,Москва +7 495 111
2,ЗАО СкладСервис,СПб +7 812 222
3,ООО КомплектПоставка,Казань +7 843 333
4,ООО IT-Логистика,Москва +7 495 444
5,ООО Паллета,Самара +7 846 555
6,ООО ГрузМаркет,Омск +7 381 666
7,ООО Снабжение,Уфа +7 347 777
8,ООО ТехноИмпорт,Москва +7 495 888
9,ООО Дистрибуция,СПб +7 812 999
10,ООО АльфаСклад,Ростов +7 863 123
11,ООО БетаСклад,Казань +7 843 234
12,ООО ГаммаСнаб,Пермь +7 342 345
13,ООО ДельтаТрейд,Воронеж +7 473 456
14,ООО Эпсилон,Уфа +7 347 567
15,ООО Зета,Самара +7 846 678
16,ООО Эта,Омск +7 381 789
17,ООО Тета,Тюмень +7 345 890
18,ООО Иота,Красноярск +7 391 901
19,ООО Каппа,Иркутск +7 395 012
20,ООО Лямбда,Владивосток +7 423 123
