warehouse_id,name,location
1,Северный склад,"Москва, ул. Логистическая, 1"
2,Южный логистический центр,"Краснодар, ул. Южная, 15"
3,Склад готовой продукции,"СПб, Индустриальный пр., 7"
4,Центральный склад,"Москва, ул. Центральная, 10"
5,Склад №5,"Казань, ул. Складская, 3"
6,Склад №6,"Екатеринбург, ул. Заводская, 22"
7,Склад №7,"Новосибирск, ул. Промышленная, 5"
8,Склад №8,"Самара, ул. Рабочая, 8"
9,Склад №9,"Омск, ул. Логистическая, 11"
10,Склад №10,"Ростов, ул. Донская, 4"
11,Склад №11,"Уфа, ул. Центральная, 2"
12,Склад №12,"Челябинск, ул. Складская, 9"
13,Склад №13,"Пермь, ул. Заводская, 6"
14,Склад №14,"Воронеж, ул. Промышленная, 12"
15,Склад №15,"Волгоград, ул. Южная, 20"
16,Склад №16,"Тюмень, ул. Логистическая, 18"
17,Склад №17,"Красноярск, ул. Складская, 14"
18,Склад №18,"Иркутск, ул. Центральная, 16"
19,Склад №19,"Хабаровск, ул. Заводская, 21"
20,Склад №20,"Владивосток, ул. Морская, 3"
